recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,product_type,city,state,country,recall_initiation_date,center_classification_date,report_date,event_id
F-0276-2017,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,Pharmatech LLC,Class II,Terminated,Voluntary: Firm initiated,"FL, MI, MS, and OH.","UPC No. 632687615989; Lot No. 30661601, Exp. Date 05/2018.",Food,Davie,FL,United States,20160808,20161025,20161102,75272
F-0865-2017,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat, peanut oil.",Magic Gourmet Trading Inc,Class II,Terminated,Voluntary: Firm initiated,"CA, WA, OR.","FG-M1MOT-UW  Best by Nov 1, 2016.",Food,Millbrae,CA,United States,20160831,20170106,20170118,75069
F-0609-2015,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.","Oasis Brands, Inc",Class I,Terminated,Voluntary: Firm initiated,"FL, GA. NC, and TN",UPC 635349 000390  Best By dates: 07/01/14 thru 12/31/14,Food,Miami,FL,United States,20141010,20141202,20141210,69516
F-1922-2012,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.","FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",FreshPoint South Florida,Class I,Terminated,Voluntary: Firm initiated,Products were distributed in South Florida.,Item #   302940.,Food,Pompano Beach,FL,United States,20120727,20120808,20120815,62750
F-0904-2020,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,"Organic By Nature, Inc.",Class III,Terminated,Voluntary: Firm initiated,"nationwide, Canada and Netherlands",Lot codes: 72746,Food,Rancho Dominguez,CA,United States,20200224,20200413,20200401,85253
F-1578-2018,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,Yukon Jackson,Class III,Terminated,Voluntary: Firm initiated,distributed in WA,no codes,Food,Seattle,WA,United States,20180525,20180614,20180620,80233
F-0921-2020,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)","Product contains dried peaches, but front labeling of product stated dried plums",Rong Shing Trading NY Inc,Class III,Terminated,Voluntary: Firm initiated,Unknown,UPC CODE: 6868978724496  BEST BEFORE: 11/15/2021,Food,Brooklyn,NY,United States,20200401,20200424,20200506,85364
F-2326-2017,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",The firm stated that the product contains undeclared allergens.,Trophy Nut Co Inc,Class II,Terminated,Voluntary: Firm initiated,Product was sent to one manufacturer in MI,"Product #29973B  Code Dates: 10/20/2016, 11/8/2016, 11/9/2016 & 01/12/2017.",Food,Tipp City,OH,United States,20170505,20170605,20170614,77213
F-0777-2015,"Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",Possible contamination with Listeria monocytogenes.,"Del Monte Fresh Produce NA, Inc",Class I,Terminated,Voluntary: Firm initiated,"NJ, NY, OH, PA, RI, VA",Lot 02332101,Food,Jessup,MD,United States,20141209,20150109,20150121,69983
F-0757-2022,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,Dole Fresh Vegetables Inc,Class I,Terminated,Voluntary: Firm initiated,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI","Product codes beginning with B - Best by Dates of December 23, 2021 through January 8, 2022.",Food,Monterey,CA,United States,20220106,20220222,20220302,89381
F-1415-2015,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",Undeclared Allergen; Peanuts.,CSM Bakery Products NA-Atlanta Frozen,Class I,Terminated,Voluntary: Firm initiated,"AL, GA, FL, IL, IN, MA, MD, MI, NJ, NY, NV, OH, PA and VA.","CSM Item Code: 31566200, Lot code: 5AF 1411901030",Food,Tucker,GA,United States,20140626,20150312,20150318,68761
F-1328-2018,Market Pantry Vanilla Ice Cream 128oz    UPC: 85239014943    Target item number: 288-7-307,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,Class II,Terminated,Voluntary: Firm initiated,HI,"All product purchased at  Target store T2780, Honolulu, HI from March 23 through March 27, 2018.",Food,Minneapolis,MN,United States,20180327,20180503,20180509,79663
F-0616-2018,"Golden delicious whole fresh apples,   Apple Ridge 5lb, 2-3/4  apples, packaged in red net mesh bags  ""	3lb, 2-1/2  apples, packaged in poly bags  ""	2lb, 2-1/2  apples, packaged in poly bags  ""	45ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays with re-useable plastic container boxes  ""	55ct, individual apples on trays with re-useable plastic container boxes  ""	60ct  individual apples on trays with re-useable plastic container boxes  ""	78ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays in cardboard tray  boxes  ""	55ct, individual apples on trays in cardboard tray  boxes",Nyblad Orchards Inc. initiated a voluntary recall of multiple varieties of whole fresh apples due to potential contamination with Listeria monocytogenes.,Nyblad Orchards,Class I,Terminated,Voluntary: Firm initiated,Domestic: Michigan    Foreign/VA/DOD: None,"NOI LOT #163, #164, #165, #166, #167, #168, #169, #159, #160, #173, #174.  These are on all plastic bag enclosures, mesh labels, and case labels for every pack.",Food,Kent City,MI,United States,20171214,20180124,20180117,78793
F-1472-2022,"Honey Caramels Blue Raspberry. Product available in 5.87 oz. bag, 1 lb. bag, 3 lb. bag, 6 lb. bag. PLU Code for 5.87 oz. bag: 788394 12675 8.","Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.","Queen Bee Gardens, LLC",Class II,Terminated,Voluntary: Firm initiated,"Ten retail locations owned by Queen Bee in CO, NM, WY and nationwide via internet sales.",None,Food,Lovell,WY,United States,20220428,20220719,20220727,90158
F-1671-2024,"1. Palmer Candy Drizzled Caramel Corn, Item 19271, Net Wt. 16/5oz tubs, UPC 77343 19271 2. Meijer Drizzled Caramel Popcorn Snack Bowl, Net Wt. 12oz, UPC 60236 18830, 8/12oz case",Potential salmonella contamination,Palmer & Company,Class I,Terminated,Voluntary: Firm initiated,Nationwide United States and Canada,1. Best by date: 1/22/25 2. Best by date: 1/22/25,Food,Sioux City,IA,United States,20240503,20240806,20240814,94571
F-0894-2018,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA",Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,Heartland Coca-Cola Bottling Company,Class II,Terminated,Voluntary: Firm initiated,"Distributed to retail stores in AR, IA, IL, KS, MO, and NE.",Oct 08 18 LXC,Food,Lenexa,KS,United States,20180212,20180307,20180314,79216
F-1233-2022,ELITE MILK CHOCOLATE COATED RICE CAKES  UPC:815871011884	NET WT 2.47OZ (70 g),Potential contamination with Salmonella,ELITE CONFECTIONERY LTD,Class I,Terminated,Voluntary: Firm initiated,Distributed in the US nationwide,All lots,Food,Nof Ha-Galil,,Israel,20220428,20220604,20220615,90105
F-1170-2024,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",Product recalled due to the presence of yellow oleander and its components in the product.,HandNatural,Class I,Ongoing,Voluntary: Firm initiated,Firm is  100% internet sales. Distribution is unknown at this time.,No Lot code on label. Expiration date listed as 05/24 and 03/24.,Food,San Luis,AZ,United States,20240209,20240416,20240424,93920
F-2387-2014,"Tiny Isle Chocolate Truffles Macadamia Nut: Gluten Free, Raw, Vegan; individual 1 oz. candies,    Tiny Isle  5915 Olohena Road, Unit H  Kapaa, HI 96746",Candy was made using carob powder that is currently under recall by the direct supplier due to potential Salmonella contamination.,"Florimont, Inc.",Class I,Terminated,Voluntary: Firm initiated,HI only,UPC for single truffles: 11386711886    No lot codes or expiry dates,Food,Kapaa,HI,United States,20140725,20140825,20140903,68994
F-1354-2023,"San Marco Premium Dough on Parchment: packaged as 8in, 14in",Undeclared Allergen - Soy Flour,Cassanos Inc,Class II,Terminated,Voluntary: Firm initiated,"Distributed to: CO, FL, IN, IL, KY, MI, OH, PA, WV","Lot: 159, 186 Expiration Date: 12/07/23, 01/03/24 Product No. 4226, 4227",Food,Dayton,OH,United States,20230718,20230802,20230809,92726
F-1540-2017,foxy's california pistachio  1 Pint,Potential Listeria monocytogenes contamination.,"Altijira Murray Products, LLC",Class I,Terminated,Voluntary: Firm initiated,"U.S. distribution to the following; CA, NY.    No foreign distribution.","Best By: March 17th 2017, March 18th 2017, March 19th 2017, March 20th 2017",Food,Ventura,CA,United States,20161220,20170224,20170308,76035
H-0552-2026,"Lowes Foods sour cream and onion flavored potato chips, 8oz. bag, UPC 7 41643 05576 6, 9 retail units per case","Inaccurate nutritional data in Nutrition Facts including but not limited to, understated sodium content. Undeclared ingredients including but not limited to, monosodium glutamate.",Uncle Ray's LLC,Class II,Ongoing,Voluntary: Firm initiated,NC,"21FEB2026, 28FEB2026, 12MAR2026, 19MAR2026, 02APR2026, 01JUL2026, 15JUL2026, 01OCT2026, 22OCT2026, 19NOV2026, 09DEC2026",Food,Detroit,MI,United States,20260225,20260310,20260318,98506
F-1643-2017,"Trader Joe's First Crush Unsweetened Gravenstein Apple Sauce;   24 oz. glass jar.  Best Before date stamped on top of lid.    UPC:00015905     Distributed by Trader Joe's, Monrovia, CA",Manzana Products Co. is initiating a recall of three varieties of apple sauce after receiving customer complaints or finding small pieces of glass in the product.,"Manzana Products Co.,  Inc.",Class II,Terminated,Voluntary: Firm initiated,Nationwide.,"ALL CODES  Through AUG 08, 2018",Food,Sebastopol,CA,United States,20170224,20170320,20170329,76589
F-1681-2015,EST -700 Calcium,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Health One Pharmaceuticals Inc,Class II,Terminated,Voluntary: Firm initiated,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",8520,Food,City Of Industry,CA,United States,20150204,20150330,20150408,70344
F-3091-2015,"Red Tart Pitted Cherries, Straight Packed (No Sugar),  5 lbs. bulk pails, 30 lbs, in bulk pails","Potential for adulteration - elevated mold, yeast, and coliform counts","Coloma Frozen Foods, Inc.",Class II,Terminated,Voluntary: Firm initiated,"Domestic: MI, IN, IL, WI, MO, NE, OH    Foreign: Canada  DOD/VA: None",Lot Codes: 15190  15191  15196  15198  15200  15201  15202  15203  15204  15205  15212  15215  43145  43146  43147  43148  43149  43150  43151  43152  43153  43155  43156  43157  43158  43159  43160  43161  43162  43163  43164  43165  43166  43167  43168  43169  43170  43171  43172  43173  43174  43175  43176  43177  43178  43179  43180  43181  43182  43183  43184  43583  43584  43585  43586  43587  43588  43589  43590  43591  43592  43593  43594  43595  43596  43597  43598  43599  43600  43601  43602  43603,Food,Coloma,MI,United States,20150807,20150909,20150916,71948
H-0088-2025,"Carley s Soft Baked Iced Lemon Cookies, 5.34oz Plastic Tray, clear film overwrap w/ Label, 12 units per case","Product has a misbranded Yellow Color.  Identified on label at  Artificial Yellow Color , and it should be identified as  FD&C Yellow #5",Carley's Inc.,Class II,Terminated,Voluntary: Firm initiated,"Product is shipped to wholesalers who further distribute to retail stores. Wholesalers are located in IL, MI, IA, LA, MD, PA, VA, MN, AL, TX, GA, SC, NY, NC, WV,",UPC Code: 7 40235 50011 0 Exp Date-Lot Code 01726-040225 11245-012825 031026-051425 061925-082324 080525-100924 081725-102124 091025-111424 061925-082324 112425-012825,Food,Lake Forest,IL,United States,20250606,20250625,20250702,97043
F-2085-2015,"Sabra Classic Hummus, 17oz Six Pack UPC 040822017497 / 301290  Sabra Dipping Co. LLC, White Plains, NY",Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.,"Sabra Dipping Company, LLC",Class I,Terminated,Voluntary: Firm initiated,The product was distributed nationwide.,UPC/SKU    040822017497 / 301290,Food,Colonial Heights,VA,United States,20150407,20150428,20150506,70934
F-2543-2015,Blue Bell Ice Cream Blueberry Cheesecake Still a 1/2 Gal (2 QTS),Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,"Blue Bell Creameries, L.P.",Class I,Terminated,Voluntary: Firm initiated,"FL, GA, SC, NC, VA, OH, KY, TN, AL, MS, IN, IL, MT, AR, LA, TX, Ok, KS, NM, CO, WY, AZ, NV and Bermuda, Belize, Saudia Arabia, Yemen, Oman, UAE, Qatar, Egypt, Jordan, Kuwait, Dominican Republic, Panama, Turks and Caicos, Haiti, Trinadad and Tobago, Puerto Rico, Chile, Peru, China, Mexico, Philippines, Tortola, St. Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica",all lot codes within expiry,Food,Brenham,TX,United States,20150313,20150619,20150701,70738
F-1892-2016,Integrated Food Service  Turkey Breast & Cheese Sandwich  on a Whole Grain French Roll  Code #C16001/160001,Potential Listeria monocytogenes contamination.,"Let's Do Lunch, Inc.",Class I,Terminated,Voluntary: Firm initiated,U.S. distribution nationwide.     No foreign distribution.,Lot #040115-050616,Food,Gardena,CA,United States,20160523,20160805,20160817,74243
F-0441-2019,"Vanilla Bean Ice Cream, 3 gallons",Products may be contaminated with  Listeria monocytogenes.,Working Cow Homemade Inc.,Class I,Terminated,Voluntary: Firm initiated,US Consignees only. No foreign nor government consignees.,"""8/29/2017 - 10/11/2018""",Food,Saint Petersburg,FL,United States,20180928,20181113,20181121,81156
F-1146-2013,Publix 7 inch Cookies Cream Layer Cake  Scale ID Number * 002-16466-00000 *The last five digits of the scale ID number contain the unit price. For example $4.99 would have the last five digits ending 00499.,Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,"Publix Super Markets, Inc.",Class I,Terminated,Voluntary: Firm initiated,Florida,"Recalled products were distributed from November 11, 2012 through November 15, 2012.",Food,Lakeland,FL,United States,20121115,20130313,20130320,64493
F-0913-2020,"Southern Sisters Gourmet Cheddar Garlic Biscuits, Net Wt 16 oz (453.6 g)",Undeclared allergen: Wheat  Undeclared colors: Yellow #5 and #6.,Southern Sisters Gourmet,Class II,Terminated,Voluntary: Firm initiated,"Distributed in the states of AL, AR, FL, GA, IL, LA, MS, OK, and TX.",Products are not coded.,Food,Coldwater,MS,United States,20200128,20200417,20200401,84863
F-1594-2024,"Marco Turkish Mocha Ice Cream 16 fl oz/1 pint, UPC 860001992885. Packaged in paper containers, 8 containers per case.",Possible contamination with Listeria monocytogenes,"Totally Cool, Inc.",Class II,Terminated,Voluntary: Firm initiated,Distributed nationwide.,All Best by Dates: 06/07/24 to 12/11/25 Codes between: 2312341 to 2406163,Food,Owings Mills,MD,United States,20240613,20240801,20240807,94829
F-0163-2018,"Stir Fry Kit,  Alaska Carrot, 1 x 11 lb. per case, UPC 45009 85749 1    The ingredient: Green cabbage, yellow onion, broccoli florette, carrot plugs.","Stir Fry Kit product is recalled due to possible contamination with Listeria monocytogenes. The broccoli used in processing this item has been recalled by vendor Mann Packing of Salinas, California.",Triple B Corporation,Class I,Terminated,Voluntary: Firm initiated,"distributed in Alaska, Idaho, Montana, Oregon, and Washington",Pack Date: 10/13/2017.  Use By: 10/20/2017,Food,Seattle,WA,United States,20171020,20171113,20171108,78335
F-0583-2019,"JY Spiderman Ice Cream, 3 gallons",Products may be contaminated with  Listeria monocytogenes.,Working Cow Homemade Inc.,Class I,Terminated,Voluntary: Firm initiated,US Consignees only. No foreign nor government consignees.,"""8/29/2017 - 10/11/2018""",Food,Saint Petersburg,FL,United States,20180928,20181113,20181121,81156
F-2441-2014,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,Dole Fresh Vegetables Inc,Class I,Terminated,Voluntary: Firm initiated,"One distribution center in AZ and retail stores in AZ, NM and NV.",Bag Code                        Expiration Date  B2311020  9/4/2014   B23110211 9/4/2014  B2311022  9/4/2014  B2311023  9/4/2014  B2311024  9/4/2014  B2311025  9/4/2014.,Food,Monterey,CA,United States,20140827,20140915,20140924,69128
F-1182-2015,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Numbskull LLC,Class I,Terminated,Voluntary: Firm initiated,Washington and Idaho ice cream scoop shops and restaurants.,"All codes manufactured from January 1, 2014 - December 15, 2014. (""MMDD"" and ""XXXX""-Snoqualmie Gourmet Ice Cream Code)",Food,Spokane Valley,WA,United States,20141223,20150211,20150218,70150
F-1796-2013,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,Red Mill Farms,Class II,Terminated,Voluntary: Firm initiated,"PA, GA, NH.",Expiration dates 12/1/13 and 1/13/14.,Food,Moosic,PA,United States,20130320,20130809,20130821,65754
F-2473-2016,"1.5 oz PEANUT BUTTER COOKIES, 80/case",Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,"Savory Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"Domestic: Jackson, MI; Toledo, OH; Grand Rapids, MI; Urbana, OH; Hudsonville, MI; Columbus, OH; Lansdale, PA; and Charlton, MA.    No Foreign or DOD/VA","1.5 oz PEANUT BUTTER COOKIES, 80/case; Product Code/Lot Code: 16033",Food,Grand Rapids,MI,United States,20160211,20160930,20161012,73353
F-0091-2013,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.","G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",G.O. Fresh,Class I,Terminated,Voluntary: Firm initiated,"Minnesota, Iowa, North Dakota and Wisconsin","BEST BY 9/15/12 & 9/16/12,",Food,Minneapolis,MN,United States,20120913,20121011,20121017,63267
F-1804-2018,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",Recalled whey powder was used in further production of numerous food products.,Sugar Foods Corporation Inc,Class II,Terminated,Voluntary: Firm initiated,"CA, CO, UT, WA, GA, TX",2280703   Best By 4/3/2019,Food,New York,NY,United States,20180720,20180813,20180808,80580
F-1105-2014,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.","The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty Enzymes & Biotechnologies, recalled the raw materials and notified the recipients.  Subsequent private laboratory testing of the finished product revealed levels of chloramphenicol above 0.3 ppb.","Global Health Laboratories, LLC",Class II,Terminated,Voluntary: Firm initiated,New York,Lot Number 1256074,Food,Amityville,NY,United States,20131107,20131218,20131225,66765
H-0389-2026,"Shrimp Paste (Klong Kone) 'M' ,  16 oz, 24 count , PLastic Jar,  24 packages/ case",Product tested high for lead.,"GUSTO GROUP, INC.",Class II,Ongoing,Voluntary: Firm initiated,"The recalled product was distributed to the following states: IA, NJ",DPA159  Shrimp Paste (Klong Kone) 'M',Food,Paterson,NJ,United States,20251119,20260109,20260121,98171
F-0678-2024,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,Potential Salmonella Contamination,"TGD Cuts, LLC",Class I,Terminated,Voluntary: Firm initiated,"Distributed in PA, NJ, MD, WV, SC VA, DE, NC, and NY",Use By Start Date: 11/2/2023  Use By End Date: 11/23/2023,Food,Jessup,MD,United States,20231129,20240102,20231227,93540
F-1216-2014,"Tuna Salad, Formula PT.60 packaged under these labels:    -Essentail Everyday Tuna Salad packaged in 6/12-oz (UPC 041303820285) carton cases. Distributed by Supervalu Inc., Eden Prairie, MN.    -Reser's Gourmet Tuna Salad packaged in 2/5-lb carton cases.  Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117855067",The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"Distribution was made to AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, VA, WI, WV AND WY.   Distribution was also made to Canada.",Use by dates 10/10/13 - 11/29/13.,Food,Beaverton,OR,United States,20131022,20131224,20140101,66563
F-0020-2015,"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376","Firm was notified by supplier that specific lots of ""expo fresh"" Roma tomatoes may be contaminated with Salmonella.",Taylor Farms Pacific Inc. (MacArthur Facility),Class I,Terminated,Voluntary: Firm initiated,"California, Arizona, Nevada, Washington",Packed on: 9/5/2014  Packed on: 9/6/2014,Food,Tracy,CA,United States,20140912,20141010,20141022,69252
F-1333-2024,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",Potential Salmonella Contamination,Danisco USA Inc.,Class I,Terminated,Voluntary: Firm initiated,"US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",Lot number: 1204607256; 1204607257; 1204607258; 1204607259; 1204607260; 1204607261; 1204607262; 1204607264,Food,New Century,KS,United States,20240503,20240606,20240612,94565
F-3116-2017,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Newly Weds Foods Inc,Class II,Terminated,Voluntary: Firm initiated,"Nationwide, Mexico, Canada",Product #A96555; Lot #WN012117E,Food,Chicago,IL,United States,20170503,20170817,20170726,77194
F-0655-2013,"""Alcapurria Jueyes"" (Crab-filled fritters) - Food Service","Undeclared allergens: wheat, soy, crustacean shellfish (crab), and yellow #5","Fabrica Confecciones Soto, Inc.",Class II,Terminated,Voluntary: Firm initiated,PR only. Product sold by the firm at retail.,none,Food,Canovanas,PR,United States,20120912,20121108,20121114,63207
F-1159-2022,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite",Sodium metabisulfite not declared on product label.,Liberty Fruit Co Inc DBA Carol's Cuts,Class I,Terminated,Voluntary: Firm initiated,"Distributed to food service locations in Kansas, Nebraska, Iowa, and Missouri.","Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Product #: 71511",Food,Kansas City,KS,United States,20220506,20220603,20220615,90164
F-1215-2019,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",Product contains undeclared sulfites.,JOY GOURMET FOODS LLC,Class II,Terminated,Voluntary: Firm initiated,"CT, NY, NJ",0712  7/12/2019,Food,Maspeth,NY,United States,20190225,20190329,20190320,82250
F-0456-2018,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,NUTCO Inc. dba Germack Pistachio Co.,Class II,Terminated,Voluntary: Firm initiated,"Unknown, firm would not provide a customer list, but identified there were mail order customers in their press release.","Product Codes: 088401520105, 1168, 1398    Best BY Date March 31 , 2018",Food,Detroit,MI,United States,20171030,20171212,20171220,78482
F-1065-2013,"POMEGRANATE DRINK  MIX.  Yoruk Prens Nar Net 400 g.  USA Distributor:  Ethnic Int. Holding Inc. 4 Corporate Drive, Cranbury, NJ 08512.  Tel. 609-395-8513.  Picture of pomegranate on label.","Yoruk Prens brand drink mix flavored Apple, Orange, Pomegranate, Cinnamon and Rosehip.  We were informed that these products include some colorants, which are not allowed to use in the USA as per a New York State Department of Agriculture and Markets sample analysis.",Ethnic International Holding Inc,Class II,Terminated,Voluntary: Firm initiated,"Connecticut, Georgia, Massachussets, Maryland, New Jersey, New York, Tennessee and Virginia.",Expiration date 1/04/2013.,Food,Cranbury,NJ,United States,20121227,20130311,20130320,64361
F-1928-2016,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,Nu Life Market LLC,Class I,Terminated,Voluntary: Firm initiated,"Product was distributed to CA, IL, and MI. There was no foreign/military/government distribution.","lot 5225B1, best by 5/13/2016;",Food,Scott City,KS,United States,20160519,20160815,20160824,74250
