status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info
Terminated,Brooklyn,NY,United States,Class II,Food,82996,"Bedessee Imports, Inc",601 Wortman Ave,N/A,11208-5442,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",NY & NJ,F-1463-2019,"National Heartland Naturals Premium Quality Pearl Barley  32 oz Plastic Bag, UPC 707966600083","32 Cartons, 12 packs each carton","Product was labeled as gluten free by mistake, but the product does contain Gluten.",20190531,20190617,20200626,20190626,"196J1-32, JUNE 30,2022",
Terminated,Snohomish,WA,United States,Class I,Food,70075,Snoqualmie Gourmet Ice Cream,21106 86th Ave SE,,98296-7904,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",distributed nationwide,F-1511-2015,"Guava Sorbet, sold under Snoqualmie brand.  Product is sold in 3 gallon plastic tubs. No UPC.",4 / 3 gallon tubs,Guava Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes,20141221,20150701,20160223,20150708,"Production date: January 1, 2014 through December 15, 2014.",
Terminated,Troy,MI,United States,Class II,Food,68422,"Good Herbs, Inc.",550 Oliver Dr,N/A,48084-5468,Voluntary: Firm initiated,Letter,"National: AZ, CA, CT, FL, IN, ME, MI, MO, MS, NC, NH, NY, OH, OR, RI, TX, VA & WY  International: None reported",F-0405-2015,"Good Herbs, Inc., SAW PALMETTO, 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,20140505,20141030,20160203,20141105,"All Lots distributed on or after October 17, 2013",
Terminated,Chicago,IL,United States,Class II,Food,77194,Newly Weds Foods Inc,2501 N Keeler Ave,N/A,60639-2131,Voluntary: Firm initiated,Letter,"Nationwide, Mexico, Canada",F-3319-2017,"B93756, BREADER X1@, NET WT 40 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639","24,080 lbs",Product may contain undeclared milk.,20170503,20170817,20190805,20170726,Product #B93756; Lot #WN011217E;  WN020817D;  WN031117E;  WN033117D,
Terminated,Westfield,MA,United States,Class II,Food,83178,"C & S Wholesale Grocers, Inc.",53 Summit Lock Road,53 Medieros Way,01085-9777,Voluntary: Firm initiated,Telephone,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York",F-1668-2019,"CHOBANI KEY LIME BLENDED LOW FAT GREEK YOGURT - 5.3OZ, UPC:1829001271",unknown,Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,20190617,20190724,20190731,20190731,"Exact codes are unknown. The product being recalled was sold on June 17, 2019 at Target Stores in Commack, NY and Central Islip, NY.",
Terminated,Bolton,CT,United States,Class II,Food,68538,Fish Family Farm,20 Dimock Ln,,06043-7220,Voluntary: Firm initiated,Press Release,Shadow Valley Farm product distributed to retail stores in CT and MA.  Fish Family Farm Brand Products were only sold at the firm's retail store.,F-2345-2014,FISH FAMILY FARM INC. & & Shadow Valley Farm brand CHOCOLATE MILK GRADE A PASTEURIZED HOMOGENIZED in a glass half-gallon container,92 half-gallons,Milk products and cream products may be contaminated with peanuts and tree nuts (pistachio).,20140612,20140821,20160414,20140827,Sell by 6/23/14,
Terminated,Bells,TN,United States,Class I,Food,73853,The Pictsweet Company,#10  Pictsweet Drive,N/A,38006,Voluntary: Firm initiated,E-Mail,Nationwide,F-1655-2016,"Frozen chopped onions labeled as:    a) Kroger(R) CHOPPED ONIONS, RECIPE BEGINNINGS(R), NET WT 12 OZ (340g), UPC 11110 89791, DISTRIBUTED BY THE KROGER COMPANY, CINCINNATI, OH 45202    b) PICTSWEET(R) Chopped Onions, recipe helper, NET WT 10 OZ (283g), UPC 70560 96609, DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38006",81752 units,Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,20160409,20160707,20170803,20160713,"a) UPC 11110 89791: Lot Codes:  0896BG, 0896BH, 0896BJ, 0896BK, 0896KA, 0896KB, 0956BA, 0956BB, 0956BC, 0956BD, 0956BG, 0956BJ    b) UPC 70560 96609: Lot Codes:  0826BA, 0826BB, 0826BC, 0826BD, 0826BE, 0826BF, 0826BG, 0826BH, 0906BA, 0906BB",
Terminated,Jamaica,NY,United States,Class II,Food,95061,American Spice LLC,10108 97th St,Apt 2R,11416-2549,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",New York,F-1745-2024,Spice Class brand Ground Cinnamon packed in 7oz and 11oz PET jars,"1,224 units","Product contains elevated levels of lead (2,040ppb).",20240528,20240823,20251104,20240904,Expiration date: 12/2026,
Terminated,Chicago,IL,United States,Class I,Food,74929,Life Rising Corp                                    S,2131 S. Archer Avenue,Uite A,60616,Voluntary: Firm initiated,Telephone,"This product was shipped to IL, OK, FL, WI, MI, CA, MD, AR and CO. The firm did not ship any product to foreign consignees.",F-1725-2017,"The product is packaged in a white plastic bottle with green lettering. The label reads in part ""LIFE RISING DHZC-2, blood circulation regulator (lower abdomen), Chinese Herbal Supplement, 60 tablets, life rising to higher well being"", UPC: 616042102727","216 bottles, 60 tablets per bottle",The dietary supplement contains lead.,20160801,20170324,20190301,20170405,All lot codes,
Terminated,Oxnard,CA,United States,Class I,Food,93290,"Gills Onions, LLC",1051 Pacific Ave,,93030-7254,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributors in Canada   AB, BC, NB, NS, ON; and the United States   AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WI.",F-0346-2024,"Cross Valley Farms 4/5 LB CTN FRESH 1/8"" SLIVERED YELLOW ONIONS W/ZIPPER","6,400 lb",Potential contamination with Salmonella Thompson,20231023,20231108,20240920,20231115,Product 6514182006CV; Finished product lots: 223YAC2A1P205 223YAC2A2R202 223YAM4A1P220 223YAM4B1P213 223YAS3A1P207 223YAS3A1P209 223YAS3A1P215 223YAS3A1P219,
Terminated,San Francisco,CA,United States,Class II,Food,71144,"Poco Dolce Confections, Inc.",1020 Illinois St,N/A,94107-3120,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","CA, AZ, CO. CT, DC, FL, GA, IL, MA, MD, MD, MI, NJ, NM, NY, OR, PA, UT and WA",F-2254-2015,"Poco Dolce Bittersweet Chocolate:  Ginger Tile, sea salt topped;  0.6 oz (17 grams)  San Francisco CA.  Ingredients:  Bittersweet Chocolate (Chocolate Liquor, Sugar, Cocoa Butter, Butter, Soy Lecithin, Pure Vanilla) Ginger, Sugar, Grey Sea Salt. May contain traces of peanuts, tree nuts or milk proteins.","34, 641 individual tiles, all varieties",California Department of Public Health conducted and inspection of the firm and found that milk was missing from the label as an ingredient of butter.,20150501,20150512,20150723,20150520,No codes,
Terminated,La Crosse,WI,United States,Class II,Food,73081,Kwik Trip Bakery,2306 Commerce St,,54603-1701,Voluntary: Firm initiated,E-Mail,"WI, MN, IA",F-0587-2016,"Filled Long Johns 9999954006,  540062, 28 per bulk tote.",approx. 288755.44 product counts for all products,"Kwik Trip, Inc. is recalling various bakery goods which might be contaminated with pieces of  plastic due to using plastic contaminated ice nuggets as an ingredient.",20160113,20160212,20170718,20160224,All lots manufactured prior to but not including 01/13/2016.,
Terminated,Miami,FL,United States,Class II,Food,92215,Borris Brothers,12254 Sw 131st Ave Unit 2,N/A,33186-6482,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution within state of Florida. No foreign distribution.,F-0881-2023,"Smoked Mahi Dip, Net Wt. 8oz and 48oz",95 containers of 8oz and 4 containers of 48oz,Undeclared Yellow #5,20230413,20230511,20230622,20230517,Batch #3-401,
Terminated,Chicago,IL,United States,Class II,Food,87840,Newly Weds Foods Inc,4140 W Fullerton Ave,N/A,60639-2106,Voluntary: Firm initiated,E-Mail,"Manufacturers and distributors located in ALABAMA, ARKANSAS, CALIFORNIA, CONNECTICUT, FLORIDA, GEORGIA, ILLINOIS, IOWA, KANSAS, LOUISIANA, MISSISSIPPI, MISSOURI, NEW YORK, TENNESSEE, TEXAS, VIRGINIA, and MEXICO.",F-0523-2021,"Newly Weds B70731 bread crumbs X1, 25lbs bag",489 bags,Foreign material,20210427,20210518,20220209,20210526,Lot numbers:  MS040421J,
Terminated,Chicago,IL,United States,Class II,Food,87840,Newly Weds Foods Inc,4140 W Fullerton Ave,N/A,60639-2106,Voluntary: Firm initiated,E-Mail,"Manufacturers and distributors located in ALABAMA, ARKANSAS, CALIFORNIA, CONNECTICUT, FLORIDA, GEORGIA, ILLINOIS, IOWA, KANSAS, LOUISIANA, MISSISSIPPI, MISSOURI, NEW YORK, TENNESSEE, TEXAS, VIRGINIA, and MEXICO.",F-0521-2021,"Newly Weds B70709 breader crumbs X3, 40lbs bag",142 bags,Foreign material,20210427,20210518,20220209,20210526,Lot numbers:  MS040321J,
Terminated,Portsmouth,NH,United States,Class II,Food,77489,High Liner Foods Inc.,1 Highliner Ave,N/A,03801-4146,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide,F-2767-2017,"HFS 10/6lb Crunchy Row Breaded Cod Rectangles 3 oz.,  Item Number: 10002800","693,408 cases (total for all products)",Product may contain undeclared milk.,20170609,20170815,20171214,20170823,Lot Number: 0047038220; 0047121120; 0047009121,
Terminated,Houston,TX,United States,Class I,Food,78071,"Country Fresh Products, LLC",2008 W W Thorne Blvd,N/A,77073-3302,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Alabama, Florida, Georgia, Louisiana, and Mississippi",F-3606-2017,"Tri-Pepper Dice, 6-oz. packaged in a clamshell and Dice Tri-Pepper, 7-oz. packaged in a clamshell",Unknown,Potential contamination with Listeria monocytogenes.,20170902,20170928,20171213,20171004,Use by date range 8/12-19/2017 and Use by date range 8/13-20/2017,
Terminated,Albuquerque,NM,United States,Class II,Food,92936,"Vitality Works, Inc",8500 Bluewater Rd NW,N/A,87121-1958,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","55 Retail customers, representing 284 individual stores.  All customers are located within the United States. There is no foreign distribution. There is no distribution to US Government agencies or departments. Distribution is by small parcel shipper (UPS, FedEx).  Distribution Chain Notification Date: August 24, 2023",F-1563-2023,"100 vegetarian  Fenugreek Capsules 90 count, 600mg, packaged in 150cc Amber Glass Packer  with White Polypropylene Cap.","1,025 bottles (total)",Foreign material: pieces of a pen (writing utensil).,20230822,20230922,20231113,20231004,Lot 2023-06871  (Lot numbers are generated by our ERP system and use the 4-digit year followed by a 5-digit sequential number.) Expires: 07/2028 Bottom Code: FENUGRK PCAP 202306871 EXP 07/28,
Terminated,Palmyra,PA,United States,Class II,Food,81465,ASK Foods Inc,77 N Hetrick Ave,,17078-1501,Voluntary: Firm initiated,E-Mail,"Product Distributed in the following States AL, AK, CT, DL, FL, GA, IL, ID, KT, LA, MD, MA, MI, NJ, NY ,NC , OH, PA, SC, TN, VA, WV",F-0746-2019,"ASK Foods Inc. Naturally Creative Firecracker Slaw, 3.75 lb. Bulk Container sold from the deli",313 Cases,Products recalled due to potential contamination with Listeria monocytogenes or Salmonella.,20181023,20181220,20181220,20181226,2852-734,
Terminated,Los Angeles,CA,United States,Class I,Food,72907,Ocean Group Inc.,1100 S Santa Fe Ave,N/A,90021-1743,Voluntary: Firm initiated,Letter,U.S. distribution in CA only (Los Angeles and San Diego).  No foreign distribution.,F-0533-2016,Masago Lake Smelt Roe  6 oz.  UPC Code:4866010101,504 Packages,Product contains undeclared soy and wheat.,20151216,20160202,20160316,20160210,N/A,
Terminated,Brenham,TX,United States,Class I,Food,70738,"Blue Bell Creameries, L.P.",1101 S Blue Bell Rd,,77833-4413,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","FL, GA, SC, NC, VA, OH, KY, TN, AL, MS, IN, IL, MT, AR, LA, TX, Ok, KS, NM, CO, WY, AZ, NV and Bermuda, Belize, Saudia Arabia, Yemen, Oman, UAE, Qatar, Egypt, Jordan, Kuwait, Dominican Republic, Panama, Turks and Caicos, Haiti, Trinadad and Tobago, Puerto Rico, Chile, Peru, China, Mexico, Philippines, Tortola, St. Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica",F-2693-2015,DZ Lime Fruit Bar - Single Serve Snack; 6 Pak Lime Fruit Bars,"1,412,840 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,20150313,20150619,20161103,20150701,all lot codes within expiry,
Terminated,Milwaukee,WI,United States,Class I,Food,62707,"Garden-Fresh Foods, Inc.",726 S 12th St.,N/A,53204-1211,Voluntary: Firm initiated,Letter,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,F-2242-2012,"Finest Traditions Blue Cheese Potato Salad, 8 lb., 10 733147 10137 4",N/A,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",20120727,20120907,20121115,20120919,"38760, 08/01/12-08/08/12          Acme Homestyle Potato Salad, 4209, 8/14/2012-8/17/2012",
Terminated,Chesterfield,MO,United States,Class I,Food,77665,"Dierbergs Markets, Inc Corporate Office",16690 Swingley Ridge Rd,N/A,63017-0758,Voluntary: Firm initiated,Press Release,Product was distributed to the firm's retail grocery stores in eastern Missouri and western Missouri.,F-2949-2017,"Dierbergs Kitchen, Grilled Chicken Caesar Wrap, NET WT. 10 oz, UPC 0 233983 804994",149 shelf packages,Undeclared anchovy in wraps.,20170628,20170727,20170809,20170802,7/2/17 and earlier.,
Terminated,Sacramento,CA,United States,Class II,Food,74394,"H.P. Hood, LLC",8340 Belvedere Ave,,95826-5902,Voluntary: Firm initiated,Telephone,"USA, Canada, Australia and south Africa",F-0339-2017,"Muscle Milk 14 oz, 25 g protein.  Vanilla Creme    UPC (case):  8-76063-00222-6;    UPC (unit):  8-76063-00202-8",132597 cases; 12 x 14 oz. containers,Products recalled due to premature spoilage (swelled containers & foul odor).,20160609,20161107,20170213,20161116,"HP Hood lot numbers: A15335, B15336, A16008, B16009, B16042, C16043  A16046, A16059, A16060, B16061, B16105, C16106, C16127, D16128  A16157, B16158, B15350, C16046, A15349, C16102, C16135, D16136  C16158",
Terminated,Beaverton,OR,United States,Class I,Food,66563,"Reser's Fine Foods, Inc.",15570 SW Jenkins Road,N/A,97006,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distribution was made to AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, VA, WI, WV AND WY.   Distribution was also made to Canada.",F-0288-2014,"Reser's Homestyle Recipe Potato Salad with Egg, Formula PO.81, packaged  in 2/8-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.",N/A,The recalled products are potentially contaminated with Listeria monocytogenes.,20131022,20131224,20170124,20140101,Use by dates 10/11/13-11/29/13.,
Terminated,Honolulu,HI,United States,Class II,Food,82877,Regal Food Inc./dba The Pizza Shop,3040 Ualena St,N/A,96819-1984,Voluntary: Firm initiated,Letter,HI only - island of Oahu,F-1459-2019,"Regal's Fundraising Cookies: Cornflake flavor.  Net Weight 12 oz. (340 grams).    All varieties have the same ingredient list:  Flour, Sugar, Cotton Seed Oil, Butter Blend, Chocolate Chips, Salted Butter, Vanilla Extract, Salt, Baking Soda.    Regal Foods,  Honolulu, HI  www.regalfoodsusa.com",N/A,"FDA inspection found that allergen sub ingredients are not declared on the label - wheat, soy, milk.",20190515,20190614,20191119,20190626,all manufacturing codes - i.e.05/02/19,
Terminated,Portales,NM,United States,Class I,Food,63257,"Sunland, Incorporated",42593 US Highway 70,N/A,88130-9043,Voluntary: Firm initiated,Press Release,National distribution under various brand names including all 50 U.S. States with some international distribution Hong Kong.,F-0369-2013,"Sunland Creamy Peanut Butter with Sea Salt, 40 oz, UPC 4868709915, Gluten Free, Produced by Sunland Inc, Portales, NM 88130.","20,463 x 40 oz","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",20120924,20121023,20141001,20121031,"Best-If-Used-By Dates between May 1, 2011 and September 24, 2013.",
Terminated,Sunrise,FL,United States,Class II,Food,81215,NUTRANEXT BUSINESS LLC,1301 Swgrs Corp Pkwy,,33323-2813,Voluntary: Firm initiated,E-Mail,US and Foreign Consignees only. No government consignees.,F-0412-2019,Internal Cleansing Kit Peppermint,2387 pkgs,"Routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.",20181001,20181108,20190702,20181114,Batch #  SC69  SC69  SC68  SC69  SC68  SC68  SC65  SC66  SC65  SC65  SC629  SC613  SC607  SC587  SC583  SC576  SC566  SC560  SC556  SC543  SC532  SC527  SC519  SC507,
Terminated,Kearns,UT,United States,Class I,Food,78866,"Condies Foods, Inc.",4850 S 5300 W,N/A,84118-6383,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to Coremark's 124 stores around the region (Nevada, Arizona, Idaho, Wyoming, Colorado, Nebraska, Utah).",F-0683-2018,"Condies Foods Fresh Fruit, Item Number 40781, UPC  50777222655",166 cases,Condies Foods is recalling Veggie Cups due to undeclared milk and egg.,20180102,20180130,20180412,20180131,"USE THRU 01/05/2018,",
Terminated,Prosper,TX,United States,Class II,Food,96878,NatureMills US Incorporated,550 Industry Way,,75078-2380,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Product is distributed throughout the USA via the firm's website.,H-0076-2025,"Nature Mills Vallarai Rice Mix, 200g",6712 units total,Undeclared  wheat allergens,20250513,20250625,20260225,20250702,VRMIXG (Best By OCT-2025) VRMXIIG (Best By JAN-2026) VRMVH (Best By JUN-2026),
Terminated,Portsmouth,NH,United States,Class II,Food,77489,High Liner Foods Inc.,1 Highliner Ave,N/A,03801-4146,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide,F-2632-2017,HLSC 12/10oz Summer Herb Crusted Cod Item Number:    1029449,"693,408 cases (total for all products)",Product may contain undeclared milk.,20170609,20170815,20171214,20170823,Lot Number: 0027056190; 0027056290; 0027114190; 0027115290,
Terminated,La Crosse,WI,United States,Class I,Food,79632,"Kwik Trip, Inc.",1626 Oak St,,54603-2308,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","IA, MN, WI",F-1110-2018,"Kitchen's Cravings Egg Salad Sandwich on Oat Multigrain Bread.  Net Wt. 5.5 oz. (156g),  Black bottom clear top plastic clamshell container, UPC 39779-00079   Keep Refrigerated.","4,957 units",Kwik Trip is recalling Kitchen's Cravings Premium Egg Salad Sandwich on Oat Multigrain Bread because it may contain undeclared fish and shellfish.,20180323,20180419,20180807,20180425,"Sell By dates:  3/25/18, 3/26/18, 3/27/18, 3/28/18, 3/29/18",
Terminated,Cincinnati,OH,United States,Class II,Food,76865,Givaudan Flavours Corp,1199 Edison Dr,N/A,45216-2265,Voluntary: Firm initiated,Telephone,"Product was shipped to IL, OH & MO",F-2198-2017,"SJ TACO Net Wgt: 44.5 LBS INGREDIENTS: Spices including Chili Pepper, Garlic Powder, Sugar, Paprika***Wheat Flour***CONTAINS: SOY, WHEAT spicetec¿ FLAVORS & SEASONINGS 6 Santa Fe Way Cranbury, NJ 08512 (800) 345-7742",41/44.5 lb bags,During an internal investigation the firm discovered that an ingredient used in various spices may contain Salmonella.,20170327,20170505,20171218,20170517,"Item 615040000, Lot #1702394843 PRODUCTION DATE 1/25/2017",
Terminated,Troy,MI,United States,Class II,Food,68422,"Good Herbs, Inc.",550 Oliver Dr,N/A,48084-5468,Voluntary: Firm initiated,Letter,"National: AZ, CA, CT, FL, IN, ME, MI, MO, MS, NC, NH, NY, OH, OR, RI, TX, VA & WY  International: None reported",F-0441-2015,"Good Herbs, Inc., WELLNESS PLUS, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,20140505,20141030,20160203,20141105,"All Lots distributed on or after October 17, 2013",
Terminated,El Paso,TX,United States,Class II,Food,92844,Mount Franklin Foods LLC DBA Azar Nut Co.,1800 Northwestern Dr,,79912-1122,Voluntary: Firm initiated,E-Mail,Nationwide,F-1517-2023,"Power Snacks Honey Roasted Sunflower Kernels, Net Wt 1 oz; UPC 076500722025","88,084 total",Potential to contain undeclared soy and/or wheat allergen due to mislabeling.,20230816,20230915,20250210,20230927,"Best Used By: 3/21/2024, 3/23/2024, 3/24/2024, 3/26/2024, 3/27/2024, 4/4/2024, 4/5/2024, 4/6/2024, 4/7/2024, 4/11/2024, 4/12/2024, 4/13/2024, 6/12/2024",
Terminated,Brenham,TX,United States,Class I,Food,70738,"Blue Bell Creameries, L.P.",1101 S Blue Bell Rd,,77833-4413,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","FL, GA, SC, NC, VA, OH, KY, TN, AL, MS, IN, IL, MT, AR, LA, TX, Ok, KS, NM, CO, WY, AZ, NV and Bermuda, Belize, Saudia Arabia, Yemen, Oman, UAE, Qatar, Egypt, Jordan, Kuwait, Dominican Republic, Panama, Turks and Caicos, Haiti, Trinadad and Tobago, Puerto Rico, Chile, Peru, China, Mexico, Philippines, Tortola, St. Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica",F-2690-2015,DZ Coconut Bar- Single Serve Snack and 6 Pak Coconut Fruit Bars and 6 Pak Dipped Coconut Fruit Bars,"3,216,470 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,20150313,20150619,20161103,20150701,all lot codes within expiry,
Terminated,Portales,NM,United States,Class I,Food,63257,"Sunland, Incorporated",42593 US Highway 70,N/A,88130-9043,Voluntary: Firm initiated,Press Release,National distribution under various brand names including all 50 U.S. States with some international distribution Hong Kong.,F-0370-2013,"Sunland Creamy Peanut Butter, 12 oz, UPC 4868726910; 5 lb UPC 22704; 40 lb UPC 22705; 40 lb UPC 22725; 500 lb UPC 26527; 18 oz UPC 4868726909; 15 lb 4868732722; 500 lb UPC 36527; 30 lb UPC 47730; 40 lb UPC 081725; 35 lb UPC 4868786724; 50 lb UPC 086301.  Produced by Sunland Inc, Portales, NM 88130","953,932 units","Sunland, Inc. is conducting a voluntary limited recall of its Almond Butter and Peanut Butter products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",20120924,20121023,20141001,20121031,"Best-If-Used-By Dates between May 1, 2011 and September 24, 2013.",
Terminated,Columbus,OH,United States,Class I,Food,71170,Jeni's Splendid Ice Creams LLC,401 N Front St Ste 300,N/A,43215-2263,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","National: AZ, CA, CO, CT, DE, FL, GA, IA, IN, KY, NH, NY, OH, OR, PA, TX, WA & WI. International: None reported.",F-3212-2015,"Beet + Grapefruit Shrub Sorbet Pint Case, 205, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, 8 pints per case, frozen.    Beet + Grapefruit Shrub Ssorbet Pint, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, individually packed, frozen.","Approximately 1,513,227 total units for all pint sized products.",Product may be contaminated with Listeria monocytogenes.,20150422,20150909,20151106,20150916,"All lots distributed were between July 1, 2013 and April 22, 2015.",
Terminated,Riviera Beach,FL,United States,Class III,Food,79823,"Italian Rose Garlic Products, LLC",1380 W 15th St,N/A,33404-5310,Voluntary: Firm initiated,Letter,Florida consignees only.,F-1135-2018,"ITALIAN ROSE GARLIC SPREAD, Gluten Free, NET WT. 35 LB (16 kg), www.italian-rose.com, Riviera Beach, FL 33404",842 pails,"During a FDA inspection, it was disclosed that the firm is not documenting the mixing time of the product nor is pH monitoring for each kettle/batch mixed being conducted. The product is a shelf stable garlic spread.",20180406,20180426,20180823,20180502,"P-1-06517-6A, Exp Date 03/06/2018; P-1-06717-6A, Exp Date 03/08/2018;  P-1-07417-7A, Exp. Date 03/15/2018; P-1-11717-11A, Exp Date 04/27/2018; P-1-12417-4A, Exp Date  05/04/2018; P-1-12917-4A, Exp Date 05/09/2018; P-1-15617-4D, Exp Date 06/05/2018; P-1-18017-4A, Exp Date 06/29/2018; P-1-20517-3A, Exp Date 07/24/2018; P-1-21317-1A, Exp Date 08/01/2018; P-1-25717-8A, Exp Date 9/14/2018; P-1-29417-1A, Exp. Date 10/21/2018; P-1-34317-3A, Exp Date 12/09/2018; P-1-35417-1A, Exp Date 2/20/2018; P-1-03218-5A, Exp Date 02/01/2019; P-1-05018-4A, Exp Date 02/19/2019",
Terminated,Leominster,MA,United States,Class II,Food,81737,DAHLICIOUS,320 Hamilton St,N/A,01453-2373,Voluntary: Firm initiated,Telephone,XX,F-1172-2019,"DAHlicious ORGANIC Lassi India -Style DRINKABLE YOGURT, Grassland Plain, , 32 FL OZ (946 mL), UPC: 7 93573 01459 7",2175 units (bottles)/362 cases,Product was improperly pasteurized.,20181211,20190315,20190405,20190327,Lot: 2018317-1,
Terminated,Austin,TX,United States,Class I,Food,95905,HARDIES FRESH FOODS,9715,9715,78708,Voluntary: Firm initiated,E-Mail,Texas,F-0399-2025,"14019 Cucumber Select 6 CT, 01034 Cucumber Select 5# packaged in polybags Dairyland Produce, LLC","3,607 bags",Cucumbers have the potential to be contaminated with Salmonella,20241127,20250114,20260211,20250122,PRODUCT DESCRIPTION LOT CUCUMBER SELECT                  5# X2377626 CUCUMBER SELECT                  5# X2377665 CUCUMBER SELECT                  5# X2378321 CUCUMBER SELECT                  5# X2378322 CUCUMBER SELECT                  5# X2378323 CUCUMBER SELECT                  5# X2378451 CUCUMBER SELECT                  5# X2378845 CUCUMBER SELECT                  5# X2378846 CUCUMBER SELECT                  5# X2378878 CUCUMBER SELECT                  5# X2378986 CUCUMBER SELECT                  5# X2379632 CUCUMBER SELECT                  5# X2380656 CUCUMBER SELECT                  5# X2381011 CUCUMBER SELECT                  5# X2381079 CUCUMBER SELECT                  5# X2381084 CUCUMBER SELECT                  5# X2381089 CUCUMBER SELECT                  5# X2381311 CUCUMBER SELECT                  5# X2381629 CUCUMBER SELECT                  5# X2381657 CUCUMBER SELECT                  5# X2381669 CUCUMBER SELECT                  5# X2381684 CUCUMBER SELECT                  5# X2382260 CUCUMBER SELECT                  5# X2382301 CUCUMBER SELECT                  5# X2382330 CUCUMBER SELECT                  5# X2382712 CUCUMBER SELECT                  5# X2383350 CUCUMBER SELECT                  5# X2383437 CUCUMBER SELECT                  5# X2384557 CUCUMBER SELECT                  5# X2384586  CUCUMBER SELECT                6 CT X2377074 CUCUMBER SELECT                6 CT X2379602 CUCUMBER SELECT                6 CT X2381000 CUCUMBER SELECT                6 CT X2381080 CUCUMBER SELECT                6 CT X2383400 CUCUMBER SELECT                6 CT X2384557 CUCUMBER SELECT                6 CT X2384587,
